bioguide_id,fec_id
E000299,H8TX16109
F000468,H8TX07140
G000587,H6TX29064
G000589,H8TX05144
R000614,H8TX21307
F000246,H0TX04219
G000594,H0TX35015
J000304,H0TX13228
N000026,H0TX22302
P000048,H0TX11230
V000134,H0TX24209
E000071,H8TX06266
C001131,H4TX29044
C001130,H2TX30178
D000594,H0TX15124
H001095,H6TX38024
L000603,H2TX08182
M001224,H2TX01112
S001224,H2TX03290
G000603,H4TX26149
G000601,H4TX12065
J000310,H4TX32089
T000489,H6TX18224
D000399,H4TX10028
S000250,H2TX03126
M001213,H0UT01205
O000086,H0UT04076
M001228,H4UT02296
K000403,H4UT03260
B001318,H2VT01076
W000804,H8VA01147
C001078,H8VA11062
G000568,H0VA09055
B001292,H4VA08224
C001118,H8VA06104
K000399,H2VA02064
M001227,H4VA04066
M001239,H0VA07133
S001230,H4VA10279
V000138,H4VA07234
W000831,H6VA11066
S000185,H6VA01117
L000560,H0WA02080
N000189,H4WA04104
J000298,H6WA07458
S001216,H8WA08189
S001159,H0WA10034
G000600,H2WA03217
B001322,H4WA05234
R000621,H4WA06117
S000510,H6WA09025
D000617,H0WA08046
M001205,H8WV03097
M001235,H0WV02138
M001160,H4WI04183
P000607,H2WI02124
G000576,H4WI06048
S001213,H8WI01156
T000165,H0WI07101
F000471,H0WI05113
V000135,H0WI03175
W000829,H4WI08119
H001096,H2WY00166
T000278,S0AL00230
B001319,S2AL00145
M001153,S0AK00063
S001198,S4AK00214
G000574,S4AZ00139
K000377,S0AZ00350
B001236,S8AR00088
C001095,S4AR00103
S001150,S4CA00555
P000145,S2CA00955
B001267,S0CO00211
H000273,S0CO00575
M001169,S2CT00132
B001277,S0CT00177
B001303,S4DE00060
C001088,S0DE00092
R000595,S0FL00338
S001217,S4FL00082
M001244,S6FL00640
O000174,S8GA00180
W000790,S0GA00559
H001042,S2HI00106
S001194,S4HI00136
C000880,S8ID00027
R000584,S8ID00092
D000563,S4IL00339
D000622,S6IL00292
Y000064,S0IN00194
B001299,S4IN00196
G000386,S0IA00028
E000295,S4IA00129
M001198,H6KS01179
M000934,S0KS00091
M000355,S2KY00012
P000603,S0KY00404
C001075,S4LA00107
K000393,S4LA00065
K000383,S2ME00109
C001035,S6ME00159
V000128,S6MD03441
A000382,S4MD00327
M000133,S4MA00028
W000817,S2MA00170
P000595,S4MI00355
S001208,S4MI00470
S001203,S8MN00578
S001227,S2MO00544
R000618,S6NE00129
T000476,S4NC00162
J000293,S2WI00136
M001225,H2CA14162
F000483,H4CA30149
G000605,H2CA13115
L000607,H4CA16197
M001241,H4CA47085
R000620,H4CA29141
S001231,H4CA12154
T000491,H4CA45170
W000830,H4CA27111
W000187,H4CA23011
C000059,H2CA37023
L000397,H4CA16049
S000344,H6CA24113
T000460,H8CA01109
C001121,H8CO06229
N000191,H8CO02160
B000825,H0CO03165
P000620,H8CO07045
C001137,H6CO05142
E000300,H4CO08034
H001100,H4CO03357
D000197,H6CO01141
C001069,H2CT02112
D000216,H0CT03072
M001238,H4DE00045
W000797,H4FL20023
C001066,H6FL11126
M001199,H6FL18097
S001214,H8FL17053
F000472,H0FL15104
G000593,H0FL26036
S000168,H8FL27185
C001127,H8FL20032
L000596,H0FL13158
M001217,H2FL22171
L000583,H4GA11061
M001208,H8GA06393
M001218,H0GA07273
B000490,H2GA02031
T000487,H2HI02581
S001148,H8ID02064
F000454,H8IL14067
Q000023,H0IL05096
S001190,H2IL10068
K000391,H6IL08147
M001211,H0IL15129
S001145,H8IL09067
C001072,H8IN07184
B001307,H8IN04199
S000929,H0IN05326
Y000067,H2IN02295
K000388,H2MS01015
G000591,H8MS03125
E000235,H2MS04258
T000193,H4MS02068
G000546,H0MO06073
C001061,H4MO05234
W000812,H2MO02102
S001195,H4MO08162
Z000018,H4MT01041
B001298,H6NE02125
F000474,H2NE01118
H001066,H2NV04011
P000034,H8NJ03073
J000289,H6OH04082
L000566,H6OH05022
J000295,H6OH14131
C001126,H2OH15228
M001222,H2OH16051
R000619,H4OH06165
C001053,H2OK04055
B000740,H0OK05205
B000668,H0OR02127
H001094,H2OR04095
T000467,H8PA05071
K000376,H0PA03271
P000605,H2PA04135
